pair,hamming_pct,penetration_i,penetration_j,steps_i,steps_j,state_hash_i,state_hash_j
fresh_run_01 vs fresh_run_02,0.0,47.667,47.667,9,9,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284
fresh_run_01 vs fresh_run_03,0.0,47.667,47.667,9,9,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284
fresh_run_01 vs fresh_run_04,0.0,47.667,47.667,9,9,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284
fresh_run_01 vs fresh_run_05,0.0,47.667,47.667,9,9,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284
fresh_run_02 vs fresh_run_03,0.0,47.667,47.667,9,9,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284
fresh_run_02 vs fresh_run_04,0.0,47.667,47.667,9,9,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284
fresh_run_02 vs fresh_run_05,0.0,47.667,47.667,9,9,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284
fresh_run_03 vs fresh_run_04,0.0,47.667,47.667,9,9,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284
fresh_run_03 vs fresh_run_05,0.0,47.667,47.667,9,9,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284
fresh_run_04 vs fresh_run_05,0.0,47.667,47.667,9,9,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284,f20e663a4b2412ebc0de315636ff785ecc4d102c9e6ba945abf0ab4d2a41c284
