pair,hamming_pct,penetration_i,penetration_j,steps_i,steps_j,state_hash_i,state_hash_j
fresh_run_01 vs fresh_run_02,1.0,56.0,56.333,8,9,6685c359819a6fa33091239bb41efc48e121ca802139f9b5c6eff81c363f4c40,41a3a33f73a9f277a54a48bacf57cc4cf2dec7f96f9cde860091e84d164a2650
fresh_run_01 vs fresh_run_03,1.667,56.0,55.667,8,9,6685c359819a6fa33091239bb41efc48e121ca802139f9b5c6eff81c363f4c40,5b00ed953ac2248cd5c1d04dd4f3e8e069cfc2589a8be4dead7117600a0a1844
fresh_run_01 vs fresh_run_04,1.333,56.0,56.0,8,8,6685c359819a6fa33091239bb41efc48e121ca802139f9b5c6eff81c363f4c40,3ccca606d651da878fff3c9e830092df6bc742acc0ef550a315e77c0bc2d4e47
fresh_run_01 vs fresh_run_05,1.667,56.0,55.667,8,8,6685c359819a6fa33091239bb41efc48e121ca802139f9b5c6eff81c363f4c40,41bd1b182067e5d48e2cac335e0a7c9dd8e8fcfc63132f9f2ff9c1c7aeafefff
fresh_run_02 vs fresh_run_03,1.333,56.333,55.667,9,9,41a3a33f73a9f277a54a48bacf57cc4cf2dec7f96f9cde860091e84d164a2650,5b00ed953ac2248cd5c1d04dd4f3e8e069cfc2589a8be4dead7117600a0a1844
fresh_run_02 vs fresh_run_04,1.667,56.333,56.0,9,8,41a3a33f73a9f277a54a48bacf57cc4cf2dec7f96f9cde860091e84d164a2650,3ccca606d651da878fff3c9e830092df6bc742acc0ef550a315e77c0bc2d4e47
fresh_run_02 vs fresh_run_05,1.333,56.333,55.667,9,8,41a3a33f73a9f277a54a48bacf57cc4cf2dec7f96f9cde860091e84d164a2650,41bd1b182067e5d48e2cac335e0a7c9dd8e8fcfc63132f9f2ff9c1c7aeafefff
fresh_run_03 vs fresh_run_04,1.667,55.667,56.0,9,8,5b00ed953ac2248cd5c1d04dd4f3e8e069cfc2589a8be4dead7117600a0a1844,3ccca606d651da878fff3c9e830092df6bc742acc0ef550a315e77c0bc2d4e47
fresh_run_03 vs fresh_run_05,0.667,55.667,55.667,9,8,5b00ed953ac2248cd5c1d04dd4f3e8e069cfc2589a8be4dead7117600a0a1844,41bd1b182067e5d48e2cac335e0a7c9dd8e8fcfc63132f9f2ff9c1c7aeafefff
fresh_run_04 vs fresh_run_05,1.667,56.0,55.667,8,8,3ccca606d651da878fff3c9e830092df6bc742acc0ef550a315e77c0bc2d4e47,41bd1b182067e5d48e2cac335e0a7c9dd8e8fcfc63132f9f2ff9c1c7aeafefff
