temperature,persona,prompt_n,output_n,repeats_per_prompt,joint_rule_acc,joint_rule_cluster_bootstrap_ci95_low,joint_rule_cluster_bootstrap_ci95_high,stance_acc,action_acc,json_valid,bootstrap_resamples,bootstrap_seed
0.0,fact_checker,80,240,3,80.0,71.25,88.33,100.0,80.0,100.0,50000,20260729
0.0,neutral,80,240,3,61.67,51.67,71.67,61.67,80.42,100.0,50000,20260729
0.0,susceptible,80,240,3,60.0,49.17,70.42,60.0,85.0,100.0,50000,20260729
0.2,fact_checker,80,240,3,80.0,71.25,87.92,100.0,80.0,100.0,50000,20260729
0.2,neutral,80,240,3,62.08,51.67,72.08,62.08,79.58,100.0,50000,20260729
0.2,susceptible,80,240,3,60.0,49.58,70.42,60.0,85.83,100.0,50000,20260729
0.5,fact_checker,80,240,3,80.83,72.08,88.75,100.0,80.83,100.0,50000,20260729
0.5,neutral,80,240,3,60.0,49.58,70.0,60.0,78.75,100.0,50000,20260729
0.5,susceptible,80,240,3,59.58,48.75,70.0,59.58,84.17,100.0,50000,20260729
0.7,fact_checker,80,240,3,80.42,71.67,88.34,100.0,80.42,100.0,50000,20260729
0.7,neutral,80,240,3,61.25,50.83,71.25,61.25,80.0,100.0,50000,20260729
0.7,susceptible,80,240,3,59.58,48.75,70.0,59.58,84.17,100.0,50000,20260729
